 written on 27Jan2026 at 21:47:40 
          22
          83
    1    1    2    1    1    1    1    1    1    2    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    2    1
    1    1    1    1    1    2    1    1
   -5    2    0    1    1   -0.000186    0.000001
   -5    2    0    2    1   -0.000013   -0.000016
   -5    2    0    3    1   -0.000071   -0.000001
   -5    2    0    4    1   -0.000006   -0.000004
   -5    2    0    5    1    0.000029    0.000002
   -5    2    0    6    1    0.000001   -0.000001
   -5    2    0    7    1    0.000234   -0.000002
   -5    2    0    8    1    0.000002   -0.000002
   -5    2    0    9    1   -0.000045   -0.000000
   -5    2    0   10    1   -0.000004    0.000006
   -5    2    0   11    1   -0.000091    0.000004
   -5    2    0   12    1   -0.000002    0.000008
   -5    2    0   13    1   -0.000078   -0.000000
   -5    2    0   14    1   -0.000002    0.000001
   -5    2    0   15    1   -0.000034    0.000000
   -5    2    0   16    1   -0.000003    0.000008
   -5    2    0   17    1    0.000017    0.000000
   -5    2    0   18    1    0.000008    0.000007
   -5    2    0   19    1    0.000008   -0.000001
   -5    2    0   20    1    0.000001    0.000008
   -5    2    0   21    1   -0.000003   -0.000000
   -5    2    0   22    1    0.000007    0.000001
   -5    2    0    1    2    0.000013   -0.000016
   -5    2    0    2    2   -0.000186   -0.000001
   -5    2    0    3    2    0.000006   -0.000004
   -5    2    0    4    2   -0.000071    0.000001
   -5    2    0    5    2   -0.000001   -0.000001
   -5    2    0    6    2    0.000029   -0.000002
   -5    2    0    7    2   -0.000002   -0.000002
   -5    2    0    8    2    0.000234    0.000002
   -5    2    0    9    2    0.000004    0.000006
   -5    2    0   10    2   -0.000045    0.000000
   -5    2    0   11    2    0.000002    0.000008
   -5    2    0   12    2   -0.000091   -0.000004
   -5    2    0   13    2    0.000002    0.000001
   -5    2    0   14    2   -0.000078    0.000000
   -5    2    0   15    2    0.000003    0.000008
   -5    2    0   16    2   -0.000034   -0.000000
   -5    2    0   17    2   -0.000008    0.000007
   -5    2    0   18    2    0.000017   -0.000000
   -5    2    0   19    2   -0.000001    0.000008
   -5    2    0   20    2    0.000008    0.000001
   -5    2    0   21    2   -0.000007    0.000001
   -5    2    0   22    2   -0.000003    0.000000
   -5    2    0    1    3    0.000176    0.000006
   -5    2    0    2    3    0.000004    0.000006
   -5    2    0    3    3    0.000133    0.000001
   -5    2    0    4    3    0.000001    0.000000
   -5    2    0    5    3    0.000268    0.000005
   -5    2    0    6    3    0.000001    0.000003
   -5    2    0    7    3   -0.000185   -0.000007
   -5    2    0    8    3    0.000007    0.000004
   -5    2    0    9    3    0.000135    0.000001
   -5    2    0   10    3   -0.000003    0.000001
   -5    2    0   11    3   -0.000035    0.000001
   -5    2    0   12    3   -0.000008    0.000001
   -5    2    0   13    3    0.000036    0.000003
   -5    2    0   14    3    0.000002   -0.000002
   -5    2    0   15    3    0.000045    0.000000
   -5    2    0   16    3    0.000002   -0.000001
   -5    2    0   17    3    0.000129    0.000003
   -5    2    0   18    3   -0.000004   -0.000007
   -5    2    0   19    3   -0.000086   -0.000001
   -5    2    0   20    3   -0.000002    0.000001
   -5    2    0   21    3   -0.000150   -0.000010
   -5    2    0   22    3   -0.000002    0.000001
   -5    2    0    1    4   -0.000004    0.000006
   -5    2    0    2    4    0.000176   -0.000006
   -5    2    0    3    4   -0.000001    0.000000
   -5    2    0    4    4    0.000133   -0.000001
   -5    2    0    5    4   -0.000001    0.000003
   -5    2    0    6    4    0.000268   -0.000005
   -5    2    0    7    4   -0.000007    0.000004
   -5    2    0    8    4   -0.000185    0.000007
   -5    2    0    9    4    0.000003    0.000001
   -5    2    0   10    4    0.000135   -0.000001
   -5    2    0   11    4    0.000008    0.000001
   -5    2    0   12    4   -0.000035   -0.000001
   -5    2    0   13    4   -0.000002   -0.000002
   -5    2    0   14    4    0.000036   -0.000003
   -5    2    0   15    4   -0.000002   -0.000001
