0         	      4.39
0.001     	      4.39
0.002     	      4.39
0.003     	      4.39
0.004     	      4.39
0.005     	      4.39
0.006     	      4.39
0.007     	      4.39
0.008     	      4.39
0.009     	      4.39
0.01      	      4.39
0.011     	      4.39
0.012     	      4.39
0.013     	      4.39
0.014     	      4.39
0.015     	      4.39
0.016     	      4.39
0.017     	      4.39
0.018     	      4.39
0.019     	      4.39
0.02      	      4.39
0.021     	      4.39
0.022     	      4.39
0.023     	      4.39
0.024     	      4.39
0.025     	      4.39
0.026     	      4.39
0.027     	      4.39
0.028     	      4.39
0.029     	      4.39
0.03      	      4.39
0.031     	      4.39
0.032     	      4.39
0.033     	      4.39
0.034     	      4.39
0.035     	      4.39
0.036     	      4.39
0.037     	      4.39
0.038     	      4.39
0.039     	      4.39
0.04      	      4.39
0.041     	      4.39
0.042     	      4.39
0.043     	      4.39
0.044     	      4.39
0.045     	      4.39
0.046     	      4.39
0.047     	      4.39
0.048     	      4.39
0.049     	      4.39
0.05      	      4.39
0.051     	      4.39
0.052     	      4.39
0.053     	      4.39
0.054     	      4.39
0.055     	      4.39
0.056     	      4.39
0.057     	      4.39
0.058     	      4.39
0.059     	      4.39
0.06      	      4.39
0.061     	      4.39
0.062     	      4.39
0.063     	      4.39
0.064     	      4.39
0.065     	      4.39
0.066     	      4.39
0.067     	      4.39
0.068     	      4.39
0.069     	      4.39
0.07      	      4.39
0.071     	      4.39
0.072     	      4.39
0.073     	      4.39
0.074     	      4.39
0.075     	      4.39
0.076     	      4.39
0.077     	      4.39
0.078     	      4.39
0.079     	      4.39
0.08      	      4.39
0.081     	      4.39
0.082     	      4.39
0.083     	      4.39
0.084     	      4.39
0.085     	      4.39
0.086     	      4.39
0.087     	      4.39
0.088     	      4.39
0.089     	      4.39
0.09      	      4.39
0.091     	      4.39
0.092     	      4.39
0.093     	      4.39
0.094     	      4.39
0.095     	      4.39
0.096     	      4.39
0.097     	      4.39
0.098     	      4.39
0.099     	      4.39
0.1       	      4.39
0.101     	      4.39
0.102     	      4.39
0.103     	      4.39
0.104     	      4.39
0.105     	      4.39
0.106     	      4.39
0.107     	      4.39
0.108     	      4.39
0.109     	      4.39
0.11      	      4.39
0.111     	      4.39
0.112     	      4.39
0.113     	      4.39
0.114     	      4.39
0.115     	      4.39
0.116     	      4.39
0.117     	      4.39
0.118     	      4.39
0.119     	      4.39
0.12      	      4.39
0.121     	      4.39
0.122     	      4.39
0.123     	      4.39
0.124     	      4.39
0.125     	      4.39
0.126     	      4.39
0.127     	      4.39
0.128     	      4.39
0.129     	      4.39
0.13      	      4.39
0.131     	      4.39
0.132     	      4.39
0.133     	      4.39
0.134     	      4.39
0.135     	      4.39
0.136     	      4.39
0.137     	      4.39
0.138     	      4.39
0.139     	      4.39
0.14      	      4.39
0.141     	      4.39
0.142     	      4.39
0.143     	      4.39
0.144     	      4.39
0.145     	      4.39
0.146     	      4.39
0.147     	      4.39
0.148     	      4.39
0.149     	      4.39
0.15      	      4.39
0.151     	      4.39
0.152     	      4.39
0.153     	      4.39
0.154     	      4.39
0.155     	      4.39
0.156     	      4.39
0.157     	      4.39
0.158     	      4.39
0.159     	      4.39
0.16      	      4.39
0.161     	      4.39
0.162     	      4.39
0.163     	      4.39
0.164     	      4.39
0.165     	      4.39
0.166     	      4.39
0.167     	      4.39
0.168     	      4.39
0.169     	      4.39
0.17      	      4.39
0.171     	      4.39
0.172     	      4.39
0.173     	      4.39
0.174     	      4.39
0.175     	      4.39
0.176     	      4.39
0.177     	      4.39
0.178     	      4.39
0.179     	      4.39
0.18      	      4.39
0.181     	      4.39
0.182     	      4.39
0.183     	      4.39
0.184     	      4.39
0.185     	      4.39
0.186     	      4.39
0.187     	      4.39
0.188     	      4.39
0.189     	      4.39
0.19      	      4.39
0.191     	      4.39
0.192     	      4.39
0.193     	      4.39
0.194     	      4.39
0.195     	      4.39
0.196     	      4.39
0.197     	      4.39
0.198     	      4.39
0.199     	      4.39
0.2       	      4.39
0.201     	      4.39
0.202     	      4.39
0.203     	      4.39
0.204     	      4.39
0.205     	      4.39
0.206     	      4.39
0.207     	      4.39
0.208     	      4.39
0.209     	      4.39
0.21      	      4.39
0.211     	      4.39
0.212     	      4.39
0.213     	      4.39
0.214     	      4.39
0.215     	      4.39
0.216     	      4.39
0.217     	      4.39
0.218     	      4.39
0.219     	      4.39
0.22      	      4.39
0.221     	      4.39
0.222     	      4.39
0.223     	      4.39
0.224     	      4.39
0.225     	      4.39
0.226     	      4.39
0.227     	      4.39
0.228     	      4.39
0.229     	      4.39
0.23      	      4.39
0.231     	      4.39
0.232     	      4.39
0.233     	      4.39
0.234     	      4.39
0.235     	      4.39
0.236     	      4.39
0.237     	      4.39
0.238     	      4.39
0.239     	      4.39
0.24      	      4.39
0.241     	      4.39
0.242     	      4.39
0.243     	      4.39
0.244     	      4.39
0.245     	      4.39
0.246     	      4.39
0.247     	      4.39
0.248     	      4.39
0.249     	      4.39
0.25      	      4.39
0.251     	      4.39
0.252     	      4.39
0.253     	      4.39
0.254     	      4.39
0.255     	      4.39
0.256     	      4.39
0.257     	      4.39
0.258     	      4.39
0.259     	      4.39
0.26      	      4.39
0.261     	      4.39
0.262     	      4.39
0.263     	      4.39
0.264     	      4.39
0.265     	      4.39
0.266     	      4.39
0.267     	      4.39
0.268     	      4.39
0.269     	      4.39
0.27      	      4.39
0.271     	      4.39
0.272     	      4.39
0.273     	      4.39
0.274     	      4.39
0.275     	      4.39
0.276     	      4.39
0.277     	      4.39
0.278     	      4.39
0.279     	      4.39
0.28      	      4.39
0.281     	      4.39
0.282     	      4.39
0.283     	      4.39
0.284     	      4.39
0.285     	      4.39
0.286     	      4.39
0.287     	      4.39
0.288     	      4.39
0.289     	      4.39
0.29      	      4.39
0.291     	      4.39
0.292     	      4.39
0.293     	      4.39
0.294     	      4.39
0.295     	      4.39
0.296     	      4.39
0.297     	      4.39
0.298     	      4.39
0.299     	      4.39
0.3       	      4.39
0.301     	      4.39
0.302     	      4.39
0.303     	      4.39
0.304     	      4.39
0.305     	      4.39
0.306     	      4.39
0.307     	      4.39
0.308     	      4.39
0.309     	      4.39
0.31      	      4.39
0.311     	      4.39
0.312     	      4.39
0.313     	      4.39
0.314     	      4.39
0.315     	      4.39
0.316     	      4.39
0.317     	      4.39
0.318     	      4.39
0.319     	      4.39
0.32      	      4.39
0.321     	      4.39
0.322     	      4.39
0.323     	      4.39
0.324     	      4.39
0.325     	      4.39
0.326     	      4.39
0.327     	      4.39
0.328     	      4.39
0.329     	      4.39
0.33      	      4.39
0.331     	      4.39
0.332     	      4.39
0.333     	      4.39
0.334     	      4.39
0.335     	      4.39
0.336     	      4.39
0.337     	      4.39
0.338     	      4.39
0.339     	      4.39
0.34      	      4.39
0.341     	      4.39
0.342     	      4.39
0.343     	      4.39
0.344     	      4.39
0.345     	      4.39
0.346     	      4.39
0.347     	      4.39
0.348     	      4.39
0.349     	      4.39
0.35      	      4.39
0.351     	      4.39
0.352     	      4.39
0.353     	      4.39
0.354     	      4.39
0.355     	      4.39
0.356     	      4.39
0.357     	      4.39
0.358     	      4.39
0.359     	      4.39
0.36      	      4.39
0.361     	      4.39
0.362     	      4.39
0.363     	      4.39
0.364     	      4.39
0.365     	      4.39
0.366     	      4.39
0.367     	      4.39
0.368     	      4.39
0.369     	      4.39
0.37      	      4.39
0.371     	      4.39
0.372     	      4.39
0.373     	      4.39
0.374     	      4.39
0.375     	      4.39
0.376     	      4.39
0.377     	      4.39
0.378     	      4.39
0.379     	      4.39
0.38      	      4.39
0.381     	      4.39
0.382     	      4.39
0.383     	      4.39
0.384     	      4.39
0.385     	      4.39
0.386     	      4.39
0.387     	      4.39
0.388     	      4.39
0.389     	      4.39
0.39      	      4.39
0.391     	      4.39
0.392     	      4.39
0.393     	      4.39
0.394     	      4.39
0.395     	      4.39
0.396     	      4.39
0.397     	      4.39
0.398     	      4.39
0.399     	      4.39
0.4       	      4.39
0.401     	      4.39
0.402     	      4.39
0.403     	      4.39
0.404     	      4.39
0.405     	      4.39
0.406     	      4.39
0.407     	      4.39
0.408     	      4.39
